E:\ТЕКУЩАЯ СМЕНА\358\1\2019-08-26\23_54_57.zip\23_54_57.fmt
Время	Тип	Сообщение
2019-08-27 22:35:07.220	254	KM поставили в 0
2019-08-27 22:38:55.450	254	KM поставили в 0
2019-08-27 22:41:47.170	254	KM поставили в 0
2019-08-27 23:03:25.930	254	KM поставили в 0
2019-08-27 23:08:46.330	254	KM поставили в 0
2019-08-27 23:17:34.240	254	KM поставили в 0
2019-08-27 23:17:56.780	254	KM поставили в 0
2019-08-27 23:38:48.780	254	KM поставили в 0
2019-08-27 23:45:14.520	254	KM поставили в 0
2019-08-27 23:49:24.800	3	Авария в С.3 - Cработала КА7      
2019-08-27 23:49:26.870	1	
2019-08-27 23:49:32.410	254	Запись аварии
2019-08-27 23:49:32.730	1	Изменение версии ПО ЦМК в секции 3 : 9.10
2019-08-26 23:55:19.390	254	KM поставили в 0
2019-08-27 00:02:01.360	3	Авария в С.3 - Cработала КА7      
2019-08-27 00:02:03.020	1	
2019-08-27 00:02:08.450	254	Запись аварии
2019-08-27 00:02:08.770	1	Изменение версии ПО ЦМК в секции 3 : 9.10
2019-08-27 00:02:09.220	254	KM поставили в 0
2019-08-27 00:05:14.220	254	KM поставили в 0
2019-08-27 00:05:23.200	254	KM поставили в 0
2019-08-27 00:11:58.820	3	Авария в С.3 - Бросок тока/Сраб.ВБ
2019-08-27 00:12:01.330	1	Срабатывание ВБ (QF1-QF4)
2019-08-27 00:12:06.900	254	Запись аварии
2019-08-27 00:12:07.240	1	Изменение версии ПО ЦМК в секции 3 : 9.10
2019-08-27 00:14:59.200	254	KM поставили в 0
2019-08-27 00:15:52.700	3	Авария в С.3 - Cработала КА7      
2019-08-27 00:15:54.780	1	
2019-08-27 00:16:00.230	254	Запись аварии
2019-08-27 00:16:00.560	1	Изменение версии ПО ЦМК в секции 3 : 9.10
2019-08-27 00:20:30.330	254	KM поставили в 0
2019-08-27 00:25:37.700	3	Авария в С.3 - Бросок тока/Сраб.ВБ
2019-08-27 00:25:40.160	1	Срабатывание ВБ (QF1-QF4)
2019-08-27 00:25:45.950	254	Запись аварии
2019-08-27 00:25:46.020	2	С3: Сработало реле земли(KV3( ВИП 1)) N=103 MASK=2
2019-08-27 00:25:46.080	2	С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
2019-08-27 00:25:46.310	1	Изменение версии ПО ЦМК в секции 3 : 9.10
2019-08-27 00:25:46.770	254	KM поставили в 0
2019-08-27 00:28:24.720	2	С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
2019-08-27 00:28:25.030	2	С3: Сработало реле земли(KV3( ВИП 1)) N=103 MASK=2
2019-08-27 00:28:35.260	254	KM поставили в 0
2019-08-27 00:29:00.390	2	С3: Сработало реле земли(KV3( ВИП 1)) N=103 MASK=2
2019-08-27 00:29:00.480	2	С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
2019-08-27 00:29:04.960	254	KM поставили в 0
2019-08-27 00:34:21.250	3	Авария в С.3 - Бросок тока/Сраб.ВБ
2019-08-27 00:34:23.750	1	Срабатывание ВБ (QF1-QF4)
2019-08-27 00:34:29.220	254	Запись аварии
2019-08-27 00:34:29.550	1	Изменение версии ПО ЦМК в секции 3 : 9.10
2019-08-27 00:34:35.820	254	KM поставили в 0
2019-08-27 00:34:51.110	2	С3: Сработало реле земли(KV3( ВИП 1)) N=103 MASK=2
2019-08-27 00:34:51.170	2	С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
2019-08-27 00:34:52.390	254	KM поставили в 0
2019-08-27 00:35:11.000	2	С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
2019-08-27 00:35:13.190	254	KM поставили в 0
2019-08-27 00:35:37.430	2	С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
2019-08-27 00:36:10.870	254	KM поставили в 0
